"OBJECT","OLD_ROUTE","NEO_ROUTE","DATA_SOURCE","OTHER_NEO_SURFACE","OLD_PAGE_IN_LAST_BUILD","NEO_PAGE_IN_LAST_BUILD","STATUS","NOTES"
"RSZELTDIR","/object/RSZELTDIR/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSZELTDIR/ exists, /neo/object/RSZELTDIR/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"RSZELTXREF","/object/RSZELTXREF/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/RSZELTXREF/ exists, /neo/object/RSZELTXREF/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"SAC_Story","/object/SAC_Story/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/SAC_Story/ exists, /neo/object/SAC_Story/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"SCM_SuccessionPlan","/object/SCM_SuccessionPlan/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/SCM_SuccessionPlan/ exists, /neo/object/SCM_SuccessionPlan/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"SID_Table","/object/SID_Table/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/SID_Table/ exists, /neo/object/SID_Table/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"STAS","/object/STAS/","/neo/object/STAS/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 1 dictionary rows"
"STKO","/object/STKO/","/neo/object/STKO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 7 neighbours / 2 dictionary rows"
"STPO","/object/STPO/","/neo/object/STPO/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 9 fields / 2 neighbours / 2 dictionary rows"
"STPU","/object/STPU/","/neo/object/STPU/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"STZU","/object/STZU/","/neo/object/STZU/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"T003O","/object/T003O/","/neo/object/T003O/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 4 neighbours / 2 dictionary rows"
"T006","/object/T006/","/neo/object/T006/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 0 neighbours / 1 dictionary rows"
"T023","/object/T023/","/neo/object/T023/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 2 fields / 1 neighbours / 1 dictionary rows"
"T023T","/object/T023T/","/neo/object/T023T/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"T134","/object/T134/","/neo/object/T134/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"T134T","/object/T134T/","/neo/object/T134T/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"T352","/object/T352/","/neo/object/T352/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 1 neighbours / 1 dictionary rows"
"T352B","/object/T352B/","/neo/object/T352B/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"T370T","/object/T370T/","/neo/object/T370T/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 0 neighbours / 1 dictionary rows"
"T399X","/object/T399X/","/neo/object/T399X/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 0 neighbours / 1 dictionary rows"
"T438M","/object/T438M/","/neo/object/T438M/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 2 fields / 0 neighbours / 1 dictionary rows"
"T500P","/object/T500P/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T500P/ exists, /neo/object/T500P/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"T501","/object/T501/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T501/ exists, /neo/object/T501/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"T503","/object/T503/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T503/ exists, /neo/object/T503/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"T512W","/object/T512W/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T512W/ exists, /neo/object/T512W/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"T513","/object/T513/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T513/ exists, /neo/object/T513/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"T528B","/object/T528B/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T528B/ exists, /neo/object/T528B/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"T549A","/object/T549A/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/T549A/ exists, /neo/object/T549A/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"TC22","/object/TC22/","/neo/object/TC22/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 0 neighbours / 1 dictionary rows"
"TC60","/object/TC60/","/neo/object/TC60/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 0 neighbours / 1 dictionary rows"
"TCA01","/object/TCA01/","/neo/object/TCA01/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 0 neighbours / 1 dictionary rows"
"TCK03","/object/TCK03/","/neo/object/TCK03/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 3 fields / 0 neighbours / 1 dictionary rows"
"TCO01","/object/TCO01/","/neo/object/TCO01/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 1 neighbours / 1 dictionary rows"
"TEVEN","/object/TEVEN/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/TEVEN/ exists, /neo/object/TEVEN/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"TJ02T","/object/TJ02T/","/neo/object/TJ02T/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 0 neighbours / 2 dictionary rows"
"TJ30","/object/TJ30/","/neo/object/TJ30/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 6 fields / 3 neighbours / 2 dictionary rows"
"TJ30T","/object/TJ30T/","/neo/object/TJ30T/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 5 fields / 1 neighbours / 2 dictionary rows"
"TPST","/object/TPST/","/neo/object/TPST/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 2 neighbours / 1 dictionary rows"
"TQ80","/object/TQ80/","/neo/object/TQ80/","sapData","/neo/erd (node in the ERD catalogue)","yes","yes","EXACT","both routes generate it; NEO view has 4 fields / 3 neighbours / 1 dictionary rows"
"VBAK","/object/VBAK/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/VBAK/ exists, /neo/object/VBAK/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"VBAP","/object/VBAP/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/VBAP/ exists, /neo/object/VBAP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"VBRK","/object/VBRK/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/VBRK/ exists, /neo/object/VBRK/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"VBRP","/object/VBRP/","—","verified-objects","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/VBRP/ exists, /neo/object/VBRP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
"VEKP","/object/VEKP/","—","verified-objects","none","yes","no","MISSING","/object/VEKP/ exists, /neo/object/VEKP/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It appears on no NEO surface at all."
"VEPO","/object/VEPO/","—","verified-objects","none","yes","no","MISSING","/object/VEPO/ exists, /neo/object/VEPO/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from verified-objects outside sapData gets no NEO object page. DATA IS PRESENT (verified-objects), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It appears on no NEO surface at all."
"WFA_Metric","/object/WFA_Metric/","—","hr-bw-adapter","/neo/erd (node in the ERD catalogue)","yes","no","PARTIAL","/object/WFA_Metric/ exists, /neo/object/WFA_Metric/ does not. NEO generateStaticParams = tableNames() = the PM/PP-PI dictionary only, so every name sourced from hr-bw-adapter outside sapData gets no NEO object page. DATA IS PRESENT (hr-bw-adapter), NOT RENDERED as a NEO detail page. Checked: no file under app/neo/ or components/neo-shell/ imports data/verified-objects or lib/hr-bw-adapter, and components/neo-shell/search/command-index.ts does not index them either — so there is no migrated NEO copy. It DOES still appear as a node in the /neo/erd catalogue (sourced from public/sap-infrastructure/dataset.json), with no detail page behind it."
